,Incident Datetime,Incident Description,Analysis Neighborhood,Intersection,point
314,2020/08/14 06:00:00 PM,"Vehicle, Stolen, Truck",Mission,TREAT AVE \ 22ND ST,"(37.7557659128205, -122.41329405061053)"
337,2020/08/17 09:18:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,ARKANSAS ST \ MARIPOSA ST,"(37.76373572668911, -122.39858041765093)"
385,2020/08/16 09:18:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,MISSION ST \ ANNIE ST,"(37.786851714583754, -122.40126150328634)"
399,2020/08/16 05:00:00 PM,"Vehicle, Stolen & Recovered",Marina,SCOTT ST \ CAPRA WAY,"(37.802510497213724, -122.44165496787065)"
403,2020/08/16 02:00:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,POLK ST \ PINE ST,"(37.78962043718497, -122.42049344331697)"
418,2020/08/11 06:00:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,YOSEMITE AVE \ INGALLS ST,"(37.724729109115316, -122.3879304959651)"
462,2020/08/16 07:00:00 PM,"Vehicle, Stolen, Truck",Potrero Hill,24TH ST \ RHODE ISLAND ST,"(37.753293597761186, -122.40146789061444)"
482,2020/08/16 07:45:00 PM,"Vehicle, Stolen, Auto",Mission,GOUGH ST \ COLTON ST,"(37.772343919036, -122.42106807582994)"
511,2020/08/17 02:19:00 AM,"Vehicle, Stolen, Auto",Inner Richmond,11TH AVE \ CLEMENT ST,"(37.78270190421642, -122.46976999223311)"
519,2020/08/17 08:00:00 AM,"Vehicle, Stolen & Recovered",Outer Richmond,BALBOA ST \ GREAT HWY,"(37.77507596005672, -122.51129492624534)"
540,2020/08/16 11:55:00 PM,"Vehicle, Stolen, Auto",Mission,FOLSOM ST \ 13TH ST,"(37.76959115943066, -122.41557701614049)"
549,2020/08/17 06:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,SARGENT ST \ BYXBEE ST,"(37.71609349499745, -122.46981802903389)"
564,2020/08/15 12:00:00 PM,"Vehicle, Stolen, Auto",South of Market,CLEMENTINA ST \ 06TH ST,"(37.778942760437076, -122.40616285916312)"
580,2020/08/16 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Outer Richmond,BALBOA ST \ 17TH AVE,"(37.77669297309456, -122.47588827206798)"
581,2020/08/17 07:36:00 AM,"Vehicle, Stolen & Recovered",Sunset/Parkside,25TH AVE \ NORIEGA ST,"(37.75395723424183, -122.48289935733482)"
601,2020/08/17 02:00:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,REVERE AVE \ JENNINGS ST,"(37.72954271057539, -122.38641847685011)"
606,2020/08/16 08:57:00 PM,"Vehicle, Stolen, Attempted",Hayes Valley,GOUGH ST \ PAGE ST,"(37.77408497416307, -122.42240711807445)"
609,2020/08/15 10:15:00 PM,"Vehicle, Stolen, Auto",South of Market,MORRIS ST \ HARRISON ST,"(37.77769982632851, -122.40352964283514)"
623,2020/08/17 06:42:00 PM,"Vehicle, Stolen & Recovered",Tenderloin,OFARRELL ST \ JONES ST,"(37.78578958358186, -122.41296966814406)"
637,2020/06/28 11:00:00 PM,"Vehicle, Stolen & Recovered",Outer Richmond,18TH AVE \ CLEMENT ST,"(37.78236056799206, -122.477374311978)"
666,2020/08/18 04:10:00 AM,"Vehicle, Stolen, Attempted",West of Twin Peaks,ACADIA ST \ JOOST AVE,"(37.73237740436003, -122.43746203675106)"
679,2020/08/18 05:30:00 AM,"Vehicle, Stolen & Recovered",Visitacion Valley,LELAND AVE \ PEABODY ST,"(37.712282748657074, -122.40652859820277)"
705,2020/08/18 11:50:00 AM,"Vehicle, Stolen & Recovered",Bernal Heights,SHOTWELL ST \ CESAR CHAVEZ ST,"(37.7482307301352, -122.41491896442716)"
706,2020/08/18 01:59:00 PM,"Vehicle, Stolen & Recovered",Outer Mission,OTSEGO AVE \ ONONDAGA AVE,"(37.722725669697944, -122.44143062024683)"
709,2020/05/12 12:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,THORNE WAY \ BRIDGEVIEW DR,"(37.733510318788085, -122.39768360549982)"
713,2020/08/17 08:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,25TH ST \ DAKOTA ST \ TEXAS ST,"(37.752426800122734, -122.3945869789376)"
726,2020/08/18 02:20:00 PM,"Vehicle, Stolen & Recovered",Outer Mission,OTSEGO AVE \ ONONDAGA AVE,"(37.722725669697944, -122.44143062024683)"
727,2020/08/18 04:00:00 AM,"Vehicle, Stolen, Auto",Tenderloin,GOLDEN GATE AVE \ LEAVENWORTH ST,"(37.781863337992526, -122.41386560526722)"
748,2020/08/17 01:00:00 PM,"Vehicle, Stolen, Auto",,,
754,2020/08/18 02:00:00 PM,"Vehicle, Stolen & Recovered",Sunset/Parkside,25TH AVE \ NORIEGA ST,"(37.75395723424183, -122.48289935733482)"
773,2020/08/18 01:45:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,VAN DYKE AVE \ LANE ST,"(37.72915975311489, -122.39241507518486)"
783,2020/08/17 02:00:00 PM,"Vehicle, Stolen, Other Vehicle",Bayview Hunters Point,JERROLD AVE \ PHELPS ST,"(37.73985319897475, -122.39126842523832)"
791,2020/08/16 11:00:00 PM,"Vehicle, Stolen, Auto",Noe Valley,25TH ST \ NOE ST,"(37.74982977810765, -122.4317169330973)"
799,2020/08/18 12:00:00 PM,"Vehicle, Stolen, Auto",Tenderloin,LARKIN ST \ GOLDEN GATE AVE,"(37.78144749392477, -122.41714561338313)"
804,2020/08/17 05:30:00 PM,"Vehicle, Stolen, Motorcycle",Marina,WEBSTER ST \ GREEN ST,"(37.79636664194028, -122.43365790411353)"
837,2020/08/13 05:00:00 PM,"Vehicle, Stolen & Recovered",Bernal Heights,HOLLADAY AVE \ WRIGHT ST,"(37.74736631166639, -122.40510135842212)"
842,2020/08/17 10:40:00 PM,"Vehicle, Stolen, Motorcycle",Pacific Heights,CALIFORNIA ST \ SCOTT ST,"(37.7882783986221, -122.43877333956095)"
862,2020/08/18 12:00:00 PM,"Vehicle, Stolen, Auto",Western Addition,VAN NESS AVE \ TURK ST,"(37.78196076502422, -122.420638250988)"
871,2020/08/13 04:00:00 PM,"Vehicle, Stolen, Auto",Hayes Valley,DUBOCE AVE \ BELCHER ST,"(37.76939226074814, -122.43024736196624)"
883,2020/08/17 07:17:00 PM,"Vehicle, Stolen & Recovered",Outer Richmond,22ND AVE \ CALIFORNIA ST,"(37.78402823745795, -122.48179117303071)"
961,2020/08/17 07:00:00 PM,"Vehicle, Stolen & Recovered",Inner Richmond,CLEMENT ST \ 09TH AVE,"(37.782802248999005, -122.46762910232071)"
988,2020/08/17 03:30:00 PM,"Vehicle, Stolen, Auto",Visitacion Valley,SUNNYDALE AVE \ SAWYER ST,"(37.71165503306195, -122.41508054719948)"
999,2020/08/19 06:44:00 PM,"Vehicle, Stolen, Motorcycle",Bernal Heights,FAIR AVE \ PROSPECT AVE,"(37.74477017141476, -122.41785108127854)"
1028,2020/08/18 11:10:00 PM,"Vehicle, Stolen, Auto",South of Market,MISSION ST \ 07TH ST,"(37.77921168445851, -122.41093657493794)"
1034,2020/08/19 01:20:00 AM,"Vehicle, Stolen, Motorcycle",South of Market,MISSION ST \ 09TH ST,"(37.77623051953945, -122.41471100473302)"
1057,2020/08/17 07:00:00 AM,"Vehicle, Stolen, Auto",Russian Hill,UNION ST \ JONES ST,"(37.799616464497454, -122.41576151176727)"
1084,2020/08/18 08:00:00 AM,"Vehicle, Stolen, Motorcycle",Mission,MARKET ST \ MCCOPPIN ST \ PEARL ST,"(37.771369004996274, -122.42397338541623)"
1107,2020/08/15 09:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,JOSIAH AVE \ LAKEVIEW AVE,"(37.717767883558565, -122.45337762132841)"
1108,2020/08/16 03:00:00 AM,"Vehicle, Stolen, Auto",Potrero Hill,KANSAS ST \ 18TH ST,"(37.76217109494264, -122.40329189268603)"
1138,2020/08/18 09:30:00 PM,"Vehicle, Stolen, Truck",Outer Mission,ALEMANY BLVD \ LAURA ST,"(37.711592687462215, -122.45246692080373)"
1181,2020/08/17 09:00:00 AM,"Vehicle, Stolen, Auto",Hayes Valley,LAGUNA ST \ HAIGHT ST,"(37.772734311063964, -122.42551205721274)"
1200,2020/08/18 08:00:00 PM,"Vehicle, Stolen, Other Vehicle",Mission,GUERRERO ST \ 14TH ST,"(37.76800642408289, -122.42441169103962)"
1222,2020/08/18 06:00:00 PM,"Vehicle, Stolen, Auto",Russian Hill,VAN NESS AVE \ BROADWAY,"(37.79573710834212, -122.42341305643612)"
1278,2020/08/19 06:30:00 AM,"Vehicle, Stolen, Auto",Outer Richmond,BALBOA ST \ GREAT HWY,"(37.77507596005672, -122.51129492624534)"
1279,2020/08/19 12:55:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,LOOMIS ST \ OAKDALE AVE,"(37.74252073319404, -122.40430629342)"
1283,2020/03/03 05:00:00 PM,"Vehicle, Stolen, Auto",Nob Hill,LARKIN ST \ BUSH ST,"(37.78890961112855, -122.41865587356023)"
1349,2020/08/18 10:00:00 PM,"Vehicle, Stolen, Auto",Inner Sunset,EDGEWOOD AVE \ BELMONT AVE,"(37.76317870043202, -122.45494608222147)"
1357,2020/08/19 02:00:00 AM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,OCEAN AVE \ PLYMOUTH AVE,"(37.723963816557244, -122.45651601686288)"
1364,2020/07/25 01:09:00 PM,"Vehicle, Stolen, Auto",Inner Richmond,GEARY BLVD \ 05TH AVE,"(37.78107016365421, -122.46321068115432)"
1402,2020/08/19 10:30:00 AM,"Vehicle, Stolen & Recovered",South of Market,TEHAMA ST \ 05TH ST,"(37.78107659598018, -122.40440368339146)"
1422,2020/08/20 04:11:00 AM,"Vehicle, Stolen, Motorcycle",South of Market,08TH ST \ CLEMENTINA ST,"(37.77542835164442, -122.4106107304721)"
1428,2020/08/19 03:00:00 PM,"Vehicle, Stolen & Recovered",Potrero Hill,KANSAS ST \ 19TH ST,"(37.7608921280721, -122.40317091731887)"
1444,2020/08/07 03:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,SHRADER ST \ PAGE ST,"(37.77031275155392, -122.45205522168708)"
1445,2020/08/19 09:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,EDNA ST \ HEARST AVE,"(37.7306992495087, -122.44657347732516)"
1456,2020/08/20 05:00:00 PM,"Vehicle, Stolen & Recovered",Financial District/South Beach,STOCKTON ST \ POST ST,"(37.788499477941336, -122.4067711451779)"
1482,2020/08/18 01:00:00 PM,"Vehicle, Stolen, Other Vehicle",Noe Valley,DIAMOND HEIGHTS BLVD \ DUNCAN ST,"(37.7452960345474, -122.44008804983274)"
1499,2020/08/17 09:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,SUNSET BLVD ON RAMP \ SLOAT BLVD,"(37.733747809105566, -122.49527142548632)"
1538,2020/08/20 05:15:00 AM,"Vehicle, Stolen, Motorcycle",Excelsior,VIENNA ST \ PERSIA AVE,"(37.72047780132554, -122.43041210519918)"
1555,2020/08/19 08:00:00 PM,"Vehicle, Stolen, Auto",Mission,TREAT AVE \ 16TH ST \ HARRISON ST,"(37.7654476075275, -122.41310524380863)"
1569,2020/08/20 04:11:00 AM,"Vehicle, Stolen, Motorcycle",South of Market,08TH ST \ CLEMENTINA ST,"(37.77542835164442, -122.4106107304721)"
1573,2020/08/20 01:30:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,FULTON ST \ LA PLAYA,"(37.771396030943585, -122.50989475109745)"
1580,2020/08/11 11:00:00 PM,"Vehicle, Stolen, Motorcycle",Hayes Valley,LAGUNA ST \ HAIGHT ST,"(37.772734311063964, -122.42551205721274)"
1639,2020/08/19 06:30:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,EUREKA ST \ 17TH ST,"(37.76229072471273, -122.43841829787343)"
1653,2020/07/19 08:20:00 PM,"Vehicle, Stolen, Auto",North Beach,COLUMBUS AVE \ LEAVENWORTH ST,"(37.80624124805435, -122.41878185632008)"
1658,2020/08/12 10:00:00 PM,"Vehicle, Stolen, Auto",Oceanview/Merced/Ingleside,RALSTON ST \ SARGENT ST,"(37.71609825493429, -122.46891899147764)"
1681,2020/08/19 08:20:00 AM,"Vehicle, Stolen & Recovered",Mission,22ND ST \ CAPP ST,"(37.75550249751555, -122.417658993747)"
1699,2020/08/20 11:00:00 AM,"Vehicle, Stolen, Auto",Marina,RICHARDSON AVE \ CHESTNUT ST,"(37.799580910437065, -122.44596537251859)"
1716,2020/08/20 07:00:00 AM,"Vehicle, Stolen, Motorcycle",Pacific Heights,LYON ST \ JACKSON ST,"(37.79099929384129, -122.44611680763535)"
1719,2020/08/22 01:00:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,TAYLOR ST \ POST ST,"(37.78787216759232, -122.41169923333719)"
1725,2020/08/22 03:30:00 PM,"Vehicle, Stolen, Auto",Mission,22ND ST \ MISSION ST,"(37.75543693568604, -122.41874757531652)"
1731,2020/08/20 08:00:00 PM,"Vehicle, Stolen, Truck",Bayview Hunters Point,PAUL AVE \ CARR ST,"(37.722626214091335, -122.3966262021733)"
1734,2020/08/22 10:30:00 AM,"Vehicle, Stolen & Recovered",Sunset/Parkside,ULLOA ST \ 48TH AVE \ GREAT HWY,"(37.73981238341194, -122.50667573830012)"
1754,2020/08/21 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Noe Valley,23RD ST \ BLANCHE ST,"(37.75319285523008, -122.42923412486643)"
1759,2020/08/20 09:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,HARNEY WAY \ JAMESTOWN AVE,"(37.71116107664349, -122.38645191189221)"
1766,2020/08/20 09:30:00 PM,"Vehicle, Stolen, Auto",Presidio Heights,ARGUELLO BLVD \ PRESIDIO TER \ WASHINGTON ST,"(37.78840521728798, -122.45938761649123)"
1770,2020/08/21 12:30:00 AM,"Vehicle, Stolen & Recovered",Bernal Heights,STONEMAN ST \ BONVIEW ST \ COSO AVE,"(37.7451034656096, -122.41569296845019)"
1783,2020/08/21 10:00:00 PM,"Vehicle, Stolen, Truck",Nob Hill,SACRAMENTO ST \ JONES ST,"(37.79234260944911, -122.41429326569435)"
1798,2020/08/20 08:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,FOERSTER ST \ HEARST AVE,"(37.73069018829024, -122.44886045694412)"
1799,2020/08/21 10:00:00 PM,"Vehicle, Stolen, Auto",Inner Richmond,LAKE ST \ 05TH AVE,"(37.78672157885291, -122.46361794420464)"
1802,2020/08/21 10:15:00 AM,"Vehicle, Stolen, Auto",Marina,LOMBARD ST \ BUCHANAN ST,"(37.80026011292863, -122.43276049037412)"
1813,2020/08/20 06:00:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,MISSION ST \ COLLEGE AVE \ CRESCENT AVE,"(37.73536986969816, -122.42470256281636)"
1818,2020/08/21 05:45:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,CHURCH ST \ 20TH ST,"(37.758088755711356, -122.42805018675219)"
1834,2020/08/13 01:25:00 AM,"Vehicle, Stolen, Auto",Bayview Hunters Point,BAY SHORE BLVD \ COSGROVE ST,"(37.74239176061754, -122.40583815976386)"
1836,2020/08/20 01:25:00 PM,"Vehicle, Stolen, Motorcycle",Nob Hill,JONES ST \ CLAY ST,"(37.793223145237825, -122.41447007514857)"
1838,2020/08/22 10:00:00 AM,"Vehicle, Stolen, Motorcycle",Bayview Hunters Point,03RD ST \ DONNER AVE,"(37.724693136232496, -122.39453212224596)"
1840,2020/08/14 11:00:00 AM,"Vehicle, Stolen, Motorcycle",Inner Sunset,06TH AVE \ IRVING ST,"(37.76417782656134, -122.46310199573726)"
1864,2020/08/21 10:00:00 AM,"Vehicle, Stolen, Auto",Haight Ashbury,WALLER ST \ ASHBURY ST,"(37.76907435637729, -122.44674489491523)"
1902,2020/08/20 08:00:00 AM,"Vehicle, Stolen, Auto",Castro/Upper Market,SANCHEZ ST \ 16TH ST,"(37.76437350953744, -122.43088215407568)"
1921,2020/08/21 01:00:00 PM,"Vehicle, Stolen, Motorcycle",Hayes Valley,FRANKLIN ST \ FULTON ST,"(37.778956863808695, -122.42170930842168)"
1956,2020/03/06 12:00:00 PM,"Vehicle, Stolen & Recovered",Mission,SOUTH VAN NESS AVE \ CESAR CHAVEZ ST,"(37.748212149468735, -122.41586279405455)"
1958,2020/08/20 10:00:00 PM,"Vehicle, Stolen, Auto",Portola,GLADSTONE DR \ CAMBRIDGE ST,"(37.731463213900604, -122.42018514148505)"
1990,2020/08/18 12:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,20TH AVE \ CALIFORNIA ST,"(37.78412535396425, -122.4796509176521)"
2060,2020/08/21 09:44:00 PM,"Vehicle, Stolen, Auto",Tenderloin,OFARRELL ST \ LARKIN ST,"(37.785167213738916, -122.41790141130261)"
2088,2020/08/17 11:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,48TH AVE \ JUDAH ST,"(37.76032981540315, -122.50806756135735)"
2101,2020/08/19 05:00:00 PM,"Vehicle, Stolen, Auto",Sunset/Parkside,46TH AVE \ MORAGA ST,"(37.754831179817934, -122.5055344454739)"
2139,2020/08/22 07:36:00 PM,"Vehicle, Stolen & Recovered",Mission,22ND ST \ MISSION ST,"(37.75543693568604, -122.41874757531652)"
2143,2020/08/22 07:00:00 AM,"Vehicle, Stolen, Truck",Oceanview/Merced/Ingleside,LOBOS ST \ CAINE AVE,"(37.71498278041112, -122.45247422582248)"
2161,2020/08/21 08:30:00 AM,"Vehicle, Stolen, Truck",Inner Sunset,JUDAH ST \ 07TH AVE,"(37.76226884793337, -122.46404200648021)"
2180,2020/08/22 06:45:00 PM,"Vehicle, Stolen, Truck",McLaren Park,MANSELL ST \ JOHN F SHELLEY DR,"(37.7181267149201, -122.4141763243238)"
2187,2020/08/21 03:00:00 PM,"Vehicle, Stolen, Auto",Portola,BOWDOIN ST \ HALE ST,"(37.73079730650957, -122.41284335305143)"
2204,2020/08/22 08:50:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,04TH ST \ JESSIE ST,"(37.784908299430455, -122.40479506275997)"
2222,2020/08/19 06:00:00 PM,"Vehicle, Stolen, Truck",Excelsior,LONDON ST \ PERSIA AVE,"(37.722763730018876, -122.43520840231155)"
2233,2019/08/09 12:00:00 AM,"Vehicle, Stolen & Recovered",South of Market,WELSH ST \ 05TH ST,"(37.77737199450485, -122.39976258647586)"
2265,2020/08/20 09:45:00 PM,"Vehicle, Stolen, Motorcycle",Tenderloin,EDDY ST \ HYDE ST,"(37.78351564008561, -122.41588253952085)"
2275,2020/08/22 05:00:00 PM,"Vehicle, Stolen, Auto",Mission,VALENCIA ST \ 20TH ST,"(37.758498507780814, -122.42127173012831)"
2287,2020/08/21 12:00:00 PM,"Vehicle, Stolen, Auto",Mission,POPLAR ST \ 26TH ST,"(37.748877690160015, -122.42083230232653)"
2291,2020/08/22 02:00:00 PM,"Vehicle, Stolen & Recovered",Excelsior,GENEVA AVE \ VIENNA ST,"(37.713843647270934, -122.43536086648237)"
2316,2020/08/22 04:00:00 PM,"Vehicle, Stolen, Auto",West of Twin Peaks,WILDWOOD WAY \ MIRAMAR AVE,"(37.72758526980229, -122.45820513325104)"
2324,2020/08/18 05:00:00 PM,"Vehicle, Stolen, Motorcycle",,,
2371,2020/08/22 05:30:00 PM,"Vehicle, Stolen, Auto",Noe Valley,23RD ST \ DOLORES ST,"(37.75343159040422, -122.42530261751959)"
2378,2020/08/22 07:00:00 PM,"Vehicle, Stolen, Auto",McLaren Park,MANSELL ST \ JOHN F SHELLEY DR,"(37.7181267149201, -122.4141763243238)"
2406,2020/08/23 12:40:00 PM,"Vehicle, Stolen, Auto",Mission Bay,DIVISION ST \ 08TH ST,"(37.769807099100845, -122.40340651910785)"
2440,2020/08/23 02:24:00 PM,"Vehicle, Stolen, Auto",Marina,LOMBARD ST \ GOUGH ST,"(37.80088675365464, -122.42782503384545)"
2443,2020/08/23 05:03:00 PM,"Vehicle, Stolen, Truck",Mission,BRYANT ST \ 24TH ST,"(37.752795583046776, -122.40912991017443)"
2446,2020/08/23 01:19:00 PM,"Vehicle, Stolen, Auto",Outer Mission,KENNY ALY \ MISSION ST,"(37.71930935913096, -122.43886348695386)"
2450,2020/08/23 01:00:00 PM,"Vehicle, Stolen, Motorcycle",Bernal Heights,ELSIE ST \ COSO AVE,"(37.745252742337016, -122.41610341013705)"
2452,2020/08/22 01:00:00 AM,"Vehicle, Stolen, Auto",Haight Ashbury,WALLER ST \ SHRADER ST,"(37.7684455246981, -122.45167593788523)"
2457,2020/07/02 11:00:00 PM,"Vehicle, Stolen, Auto",Haight Ashbury,STANYAN ST \ RIVOLI ST,"(37.76216674999106, -122.45209669136143)"
2517,2020/08/22 12:00:00 AM,"Vehicle, Stolen, Auto",Tenderloin,MASON ST \ DERBY ST,"(37.78742932998812, -122.40993054405932)"
2538,2020/08/23 07:00:00 AM,"Vehicle, Stolen, Auto",Sunset/Parkside,PACHECO ST \ GREAT HWY,"(37.74911093709113, -122.50794154857728)"
2562,2020/08/25 07:14:00 PM,"Vehicle, Stolen, Auto",,,
2573,2020/08/24 07:30:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,CONNECTICUT ST \ 18TH ST,"(37.76252120215027, -122.39749499870008)"
2589,2020/08/23 08:00:00 PM,"Vehicle, Stolen, Truck",West of Twin Peaks,ULLOA ST \ 19TH AVE,"(37.74118663867511, -122.47553978844745)"
2591,2020/08/24 09:25:00 PM,"Vehicle, Stolen, Auto",Bernal Heights,ESMERALDA AVE \ FRANCONIA ST \ PERALTA AVE,"(37.74335279302921, -122.40859103923555)"
2600,2020/08/10 12:00:00 PM,"Vehicle, Stolen, Auto",Chinatown,WASHINGTON ST \ POWELL ST,"(37.79473682446444, -122.40972157983978)"
2603,2020/08/25 03:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,INGALLS ST \ FITZGERALD AVE,"(37.72097598590643, -122.39130649030375)"
2624,2020/08/24 02:00:00 PM,"Vehicle, Stolen, Other Vehicle",Hayes Valley,HICKORY ST \ WEBSTER ST,"(37.774648923465676, -122.42927263064111)"
2631,2020/08/24 02:00:00 PM,"Vehicle, Stolen, Auto",Financial District/South Beach,01ST ST \ CLEMENTINA ST,"(37.787717614296156, -122.39500784294518)"
2645,2020/08/22 07:30:00 PM,"Vehicle, Stolen, Auto",Lakeshore,UNNAMED 088 \ CAMBON DR \ CASTELO AVE,"(37.71750748485157, -122.47438270575199)"
2649,2020/08/23 09:00:00 PM,"Vehicle, Stolen, Truck",Castro/Upper Market,TWIN PEAKS BLVD \ CARMEL ST \ CLAYTON ST,"(37.7610067180246, -122.44643363830613)"
2650,2020/08/24 06:00:00 PM,"Vehicle, Stolen, Truck",Russian Hill,BAY ST \ COLUMBUS AVE,"(37.80516964874004, -122.41722619458592)"
2652,2020/08/23 06:15:00 PM,"Vehicle, Stolen, Auto",Castro/Upper Market,EUREKA ST \ 18TH ST,"(37.76069231742406, -122.4382653831555)"
2658,2020/08/24 09:00:00 PM,"Vehicle, Stolen, Truck",Mission,ISIS ST \ 12TH ST,"(37.7706103582148, -122.4143442572656)"
2680,2020/08/24 08:00:00 PM,"Vehicle, Stolen, Auto",Inner Richmond,03RD AVE \ FULTON ST,"(37.77403113305434, -122.46055266358883)"
2703,2020/08/25 12:00:00 PM,"Vehicle, Stolen, Auto",Bayview Hunters Point,JENNINGS ST \ CARROLL AVE,"(37.72391410367005, -122.3914919152981)"
2706,2020/08/22 03:00:00 PM,"Vehicle, Stolen, Motorcycle",,,
2729,2020/08/24 08:00:00 PM,"Vehicle, Stolen, Motorcycle",Haight Ashbury,PAGE ST \ COLE ST,"(37.770519317566674, -122.45040750689292)"
2742,2020/08/21 08:00:00 PM,"Vehicle, Stolen, Auto",Potrero Hill,VERMONT ST \ MARIPOSA ST,"(37.76338175371858, -122.40437172737255)"
2745,2020/08/23 10:30:00 PM,"Vehicle, Stolen, Other Vehicle",Outer Mission,BERTITA ST \ UNNAMED 027,"(37.71912545995896, -122.43982755880472)"
2748,2020/08/24 01:15:00 PM,"Vehicle, Stolen, Auto",Presidio Heights,LAUREL ST \ CLAY ST,"(37.78864712428472, -122.45048024709068)"
2786,2020/08/24 05:00:00 PM,"Vehicle, Stolen, Other Vehicle",Mission,MISSION ST \ CLARION ALY,"(37.76305083908165, -122.41947628865915)"
2819,2020/08/24 07:00:00 PM,"Vehicle, Stolen, Motorcycle",Bernal Heights,ELSIE ST \ ESMERALDA AVE,"(37.74322272195039, -122.41742152783765)"
2875,2020/08/24 06:00:00 PM,"Vehicle, Stolen, Motorcycle",Western Addition,VAN NESS AVE \ TURK ST,"(37.78196076502422, -122.420638250988)"
2883,2020/08/21 02:00:00 PM,"Vehicle, Stolen, Auto",Outer Richmond,34TH AVE \ CABRILLO ST,"(37.773995846473085, -122.49396822278104)"
2892,2020/08/24 01:30:00 PM,"Vehicle, Stolen, Auto",South of Market,11TH ST \ KISSLING ST,"(37.77264947305175, -122.41500165430014)"
2894,2020/08/24 06:00:00 PM,"Vehicle, Stolen & Recovered",Outer Mission,CAYUGA AVE \ DANTON ST,"(37.73078043229656, -122.43222051623954)"
2928,2020/08/25 01:15:00 AM,"Vehicle, Stolen, Auto",Tenderloin,GEARY ST \ POLK ST,"(37.78589290013101, -122.41973873477666)"
